system   D            wsystem.c:583  maybe_parent_dir                 [   0.00120] Also searching C:\Users\HAL-9000\Desktop\level5\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00166] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00169] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.01198] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:893  _al_d3d_init_display             [   0.15040] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.15051] Allegro version: 5.0.7
d3d      I         d3d_disp.cpp:1921 d3d_create_display_locked        [   0.15153] faux_fullscreen=0
display  D   display_settings.c:191  debug_display_settings           [   0.21044] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.21049] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.21052] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.21054] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.21056] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.21059] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.21061] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.21064] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.21066] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21068] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.21070] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21073] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [   0.21075] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21078] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.21080] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21082] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [   0.21084] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21087] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.21089] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21092] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [   0.21094] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21096] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.21098] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21101] Score is : 737
display  D   display_settings.c:191  debug_display_settings           [   0.21103] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21106] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21118] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21122] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21124] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21127] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21129] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21132] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21134] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21136] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21139] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21141] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21143] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21146] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21148] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21150] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21153] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21155] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21157] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21160] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21162] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21165] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21167] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21169] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21172] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.21174] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.21176] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.21179] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.21181] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.21183] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.21186] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.21188] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.21190] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.21193] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.21196] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21198] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.21200] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21203] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.21205] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21207] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.21209] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21212] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.21214] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21217] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.21219] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21221] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.21223] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21226] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.21228] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21231] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.21233] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21235] Score is : 641
display  D   display_settings.c:191  debug_display_settings           [   0.21237] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.21240] Score is : 609
display  D   display_settings.c:191  debug_display_settings           [   0.21242] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21244] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21247] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21249] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21251] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21254] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21256] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21258] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21261] color: 32 (rgba 8880), depth: 24, stencil: 4, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.21263] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21266] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21269] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21271] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21273] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21276] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 0/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21278] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.21280] color: 32 (rgba 8880), depth: 32, stencil: 0, acc: 0000, samples: 1/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.21283] Single Buffer requirement not met.
